0.000000,-21.109418,21.352854,-3.477664,3.477664,10.000000,0.000000
0.003742,-22.047760,20.391888,-3.632250,3.321154,9.997236,-0.235094
0.004200,-22.161782,20.273485,-3.651035,3.301870,9.996518,-0.263862
0.004565,-22.252524,20.179000,-3.665984,3.286482,9.995887,-0.286788
0.004918,-22.340132,20.087561,-3.680417,3.271590,9.995226,-0.308949
0.005282,-22.430348,19.993177,-3.695280,3.256218,9.994494,-0.331797
0.005632,-22.517025,19.902281,-3.709559,3.241414,9.993740,-0.353775
0.005990,-22.605596,19.809181,-3.724151,3.226251,9.992919,-0.376261
0.006341,-22.692288,19.717843,-3.738433,3.211375,9.992065,-0.398295
0.006697,-22.780103,19.625104,-3.752900,3.196271,9.991149,-0.420642
0.007065,-22.870739,19.529156,-3.767832,3.180644,9.990150,-0.443735
0.007457,-22.967409,19.426564,-3.783758,3.163935,9.989024,-0.468397
0.007885,-23.072541,19.314686,-3.801078,3.145714,9.987729,-0.495255
0.008231,-23.157404,19.224146,-3.815058,3.130968,9.986628,-0.516964
0.008576,-23.241924,19.133766,-3.828983,3.116249,9.985484,-0.538610
0.008917,-23.325344,19.044359,-3.842725,3.101687,9.984308,-0.559999
0.009256,-23.408191,18.955366,-3.856374,3.087193,9.983092,-0.581267
0.009605,-23.493373,18.863654,-3.870407,3.072256,9.981793,-0.603159
0.009949,-23.577224,18.773169,-3.884221,3.057519,9.980466,-0.624735
0.010288,-23.659746,18.683915,-3.897816,3.042983,9.979113,-0.645994
0.010721,-23.764977,18.569808,-3.915153,3.024399,9.977318,-0.673139
0.011068,-23.848989,18.478473,-3.928993,3.009523,9.975831,-0.694839
0.011437,-23.938431,18.381004,-3.943728,2.993649,9.974193,-0.717971
0.011885,-24.046825,18.262561,-3.961586,2.974358,9.972132,-0.746043
0.012234,-24.131147,18.170176,-3.975477,2.959312,9.970472,-0.767911
0.012585,-24.215813,18.077199,-3.989426,2.944169,9.968754,-0.789895
0.012938,-24.300877,17.983565,-4.003439,2.928919,9.966977,-0.812010
0.013281,-24.383415,17.892502,-4.017037,2.914088,9.965204,-0.833493
0.013622,-24.465324,17.801925,-4.030531,2.899336,9.963396,-0.854839
0.013968,-24.548321,17.709935,-4.044204,2.884354,9.961514,-0.876494
0.014310,-24.630289,17.618877,-4.057708,2.869524,9.959607,-0.897906
0.014672,-24.716874,17.522464,-4.071973,2.853821,9.957539,-0.920551
0.015015,-24.798835,17.430984,-4.085475,2.838923,9.955532,-0.942014
0.015423,-24.896138,17.322108,-4.101506,2.821190,9.953084,-0.967529
0.015855,-24.999007,17.206681,-4.118453,2.802391,9.950421,-0.994542
0.016198,-25.080569,17.114924,-4.131889,2.787447,9.948254,-1.015989
0.016546,-25.163146,17.021810,-4.145494,2.772282,9.946010,-1.037730
0.016887,-25.244021,16.930405,-4.158817,2.757395,9.943763,-1.059049
0.017228,-25.324724,16.838986,-4.172113,2.742506,9.941471,-1.080347
0.017567,-25.404860,16.748001,-4.185315,2.727687,9.939147,-1.101522
0.017907,-25.485105,16.656684,-4.198535,2.712815,9.936772,-1.122752
0.018250,-25.565965,16.564458,-4.211856,2.697794,9.934328,-1.144169
0.018592,-25.646481,16.472411,-4.225120,2.682803,9.931846,-1.165522
0.018932,-25.726375,16.380867,-4.238282,2.667894,9.929333,-1.186736
0.019272,-25.806151,16.289247,-4.251425,2.652972,9.926775,-1.207944
0.019777,-25.924423,16.153030,-4.270910,2.630787,9.922893,-1.239434
0.020125,-26.005744,16.059101,-4.284307,2.615489,9.920160,-1.261119
0.020481,-26.088832,15.962904,-4.297995,2.599822,9.917315,-1.283302
0.020829,-26.169957,15.868756,-4.311360,2.584488,9.914484,-1.304990
0.021169,-26.249072,15.776727,-4.324394,2.569500,9.911674,-1.326166
0.021512,-26.328786,15.683787,-4.337527,2.554363,9.908792,-1.347529
0.021855,-26.408378,15.590773,-4.350639,2.539214,9.905865,-1.368886
0.022212,-26.491049,15.493933,-4.364258,2.523442,9.902770,-1.391097
0.022558,-26.571051,15.399995,-4.377438,2.508143,9.899723,-1.412618
0.022900,-26.649993,15.307086,-4.390444,2.493011,9.896665,-1.433882
0.023242,-26.728812,15.214106,-4.403429,2.477867,9.893562,-1.455138
0.023597,-26.810524,15.117486,-4.416890,2.462131,9.890292,-1.477203
0.023937,-26.888653,15.024883,-4.429762,2.447049,9.887114,-1.498327
0.024277,-26.966659,14.932212,-4.442613,2.431956,9.883890,-1.519444
0.024621,-27.045470,14.838367,-4.455596,2.416672,9.880583,-1.540806
0.024962,-27.123447,14.745299,-4.468443,2.401514,9.877259,-1.561968
0.025304,-27.201516,14.651902,-4.481304,2.386303,9.873881,-1.583183
0.025647,-27.279732,14.558112,-4.494190,2.371028,9.870446,-1.604464
0.025987,-27.357116,14.465102,-4.506938,2.355880,9.866996,-1.625545
0.026328,-27.434592,14.371765,-4.519702,2.340678,9.863491,-1.646678
0.026670,-27.512374,14.277840,-4.532516,2.325381,9.859921,-1.667922
0.027011,-27.589597,14.184371,-4.545238,2.310158,9.856325,-1.689040
0.027565,-27.714612,14.032591,-4.565834,2.285438,9.850395,-1.723285
0.027910,-27.792630,13.937577,-4.578687,2.269964,9.846626,-1.744692
0.028252,-27.869605,13.843611,-4.591368,2.254660,9.842856,-1.765840
0.028594,-27.946452,13.749582,-4.604028,2.239346,9.839040,-1.786980
0.028936,-28.023223,13.655423,-4.616676,2.224010,9.835176,-1.808127
0.029276,-28.099384,13.561793,-4.629223,2.208761,9.831291,-1.829132
